,sentimentos,ID_tweet,data_tweet,termo_consultado,nome_usuario,texto_tweet
78998,0,1751630428,Sat May 09 19:54:12 PDT 2009,NO_QUERY,FlammableGoose,@xlovexaholicx am not. last time i checked im the definition of koolness LOL jk.. yeah T__Tso mean 
1058209,4,1962884865,Fri May 29 11:51:37 PDT 2009,NO_QUERY,superandy_07,"at bones bbq, guid banter "
1571842,4,2188835415,Mon Jun 15 22:39:47 PDT 2009,NO_QUERY,Nileyluvv,http://twitpic.com/7iyp6 - VOtE 4 MilEY CYRUS tEEN ChOiiCE AWARdS 09 www.teenchoiceawards.com &amp;&amp; niley 4 best couple 
536335,0,2198364585,Tue Jun 16 15:58:39 PDT 2009,NO_QUERY,modernheiress,i need to get out of the house.. too much shit is going on.. 
770247,0,2301930581,Tue Jun 23 16:06:17 PDT 2009,NO_QUERY,warriordude07,I wanna play xbox 
531803,0,2196506526,Tue Jun 16 12:33:47 PDT 2009,NO_QUERY,Jockin_JB,@GnarlyNichole Oh shit that sucks!!!! 
1140107,4,1977005164,Sat May 30 19:50:41 PDT 2009,NO_QUERY,etherjammer,"@hawkster, awesome! Well done. "
267230,0,1989152057,Mon Jun 01 00:31:08 PDT 2009,NO_QUERY,bambamboogie,@Britneezy im NOT bout 2 go outside by myself. its dark as shit. im scared of the dark  but i SWORE i brought it nside. my bro saw it 2!!
239093,0,1980551294,Sun May 31 07:03:29 PDT 2009,NO_QUERY,rokusasu_xiii,i dont feel so good  blehhh
510789,0,2189740634,Tue Jun 16 00:47:14 PDT 2009,NO_QUERY,SurrealMystery,I FINALLY read the &quot;Penny: Keep Your Head Up&quot; comic! I was so sad at the end... 
159683,0,1956894216,Thu May 28 22:58:01 PDT 2009,NO_QUERY,MsMusicMarino,@Kamakacci_Juice YES!! is that bad? 
1400000,4,2054321872,Sat Jun 06 07:05:33 PDT 2009,NO_QUERY,forbairt,@kdaly100 ouch  ... when she's back to you in 3 months saying its still not working ... 
184603,0,1967749063,Fri May 29 20:08:36 PDT 2009,NO_QUERY,jaeBrook,@sasssy_thang what about me  http://myloc.me/233q
1587480,4,2190949659,Tue Jun 16 04:09:17 PDT 2009,NO_QUERY,anggaputra,Finished eating at mcd (again!) Now sency-ing  http://myloc.me/40TA
1549397,4,2183425948,Mon Jun 15 14:29:22 PDT 2009,NO_QUERY,Bethybbz,@actorbaybee love you too sweetie...hope it works! 
919068,4,1753758689,Sun May 10 03:17:32 PDT 2009,NO_QUERY,ssshhmack,just got home and my kitty was by my door waiting for me 
287061,0,1994088487,Mon Jun 01 11:23:44 PDT 2009,NO_QUERY,jonyceruiz,"Working from home again...hubby, Mary &amp; I are all still sick.    Hopefully we can fight through this thing soon."
836277,4,1558424241,Sun Apr 19 08:19:59 PDT 2009,NO_QUERY,Huntravess,@Dirk_Gently Thank you. 
674353,0,2247765396,Fri Jun 19 19:35:26 PDT 2009,NO_QUERY,kirrily,@SarahHen @FeistyKel @tantoamore you'll all be missed this afternoon 
1198668,4,1985183827,Sun May 31 16:36:00 PDT 2009,NO_QUERY,thisgoeshere,@xxkassyxx welcome! it just was a cool premise. and patrick was cute.  hey! i need the link for your pg again. gotta read more! 
690518,0,2252034230,Sat Jun 20 05:16:36 PDT 2009,NO_QUERY,giiiix3,Boredddd at work  text meee
882711,4,1686012842,Sun May 03 03:17:11 PDT 2009,NO_QUERY,Powanono,@skynash is it your student room in London? 
1185692,4,1982820318,Sun May 31 11:58:07 PDT 2009,NO_QUERY,sufrj,@TexTrader But I certainly think that its a good quote 
477205,0,2178117816,Mon Jun 15 07:13:13 PDT 2009,NO_QUERY,malenga,"I wish Google Voice/Grandcentral allowed you to change your number. Forever stuck with a G'ville, FL one I guess. "
1002739,4,1880245248,Fri May 22 00:34:35 PDT 2009,NO_QUERY,EliasWallace,Bout to jump on the train to Arhus for the SPOT festival in Denmark.  Come watch Dafuniks David Fricke!!! 
670687,0,2246641049,Fri Jun 19 17:54:23 PDT 2009,NO_QUERY,caysiegilbank,@barbiegirl20 ahhh my @ in your ff didnt work! 
1110344,4,1972046832,Sat May 30 08:26:58 PDT 2009,NO_QUERY,andrea_r,@annahawthorne cuz I'm online all day anyway? 
378178,0,2052054767,Fri Jun 05 23:31:41 PDT 2009,NO_QUERY,lupe_90,Srry guys 
274665,0,1990643531,Mon Jun 01 05:24:03 PDT 2009,NO_QUERY,faddict,@goaskalicia  i know the feeling. here's hoping you win the lottery!
288417,0,1994576448,Mon Jun 01 12:07:59 PDT 2009,NO_QUERY,D_Child,"@ramaro17 Now u know why im pissed,sad and upset!  Really dunno what this is tho "
1209899,4,1988987416,Sun May 31 23:59:24 PDT 2009,NO_QUERY,avalkyrie,Also there was a TESLA COIL   #makerfaire  http://yfrog.com/59w1rj
224839,0,1977509009,Sat May 30 21:06:56 PDT 2009,NO_QUERY,Jessicaveronica,I dont want to leave home 
582250,0,2214550798,Wed Jun 17 16:54:17 PDT 2009,NO_QUERY,honey_is_evil,my foooooooooot huuuurts. OW!! 
1512959,4,2175296361,Mon Jun 15 00:35:56 PDT 2009,NO_QUERY,Richardrubio,"Goodnight everyone!      Hopefully, this week will be epic. "
1353788,4,2046836459,Fri Jun 05 12:45:49 PDT 2009,NO_QUERY,taylorbath,Hanging out with some friends/stocking up at lcbo/drunk somewhere? Text the cell!  9054406161 &lt;3
1145229,4,1977747730,Sat May 30 21:37:14 PDT 2009,NO_QUERY,SteveChaiGuy,@Gen22 and I know that they r only for me!! How sweet if u!! 
582150,0,2214513056,Wed Jun 17 16:51:01 PDT 2009,NO_QUERY,ThisSongPlays,@Markhoppus  dude... its worse with a seven year old and a five yr old who think jack in the ass toys rule the damned world! 
1408902,4,2055772875,Sat Jun 06 09:55:45 PDT 2009,NO_QUERY,_andre1313,@xoxallixox im not kidding u! its cute! 
606014,0,2222445990,Thu Jun 18 06:59:45 PDT 2009,NO_QUERY,MamasitaNena,@chris_austintx ditto and it sucks.    
392581,0,2055180505,Sat Jun 06 08:51:02 PDT 2009,NO_QUERY,sisysisysisy,"swear to everything in this world , I've never felt this feeling even for once on my life . . it makes my breath packed "
1066484,4,1965316263,Fri May 29 15:42:18 PDT 2009,NO_QUERY,_eidolon,"taking pictures of my neice, ... gotta get back to photos and editing, i miss my art "
1535027,4,2178909375,Mon Jun 15 08:22:42 PDT 2009,NO_QUERY,iheartuga119,@KATaylor007 I agree!! No one else quite understands my obsession. 
1384604,4,2052670481,Sat Jun 06 01:34:13 PDT 2009,NO_QUERY,adparlor,You need more details in the review  Robert L. http://tinyurl.com/qahkqp
744350,0,2267109510,Sun Jun 21 09:38:29 PDT 2009,NO_QUERY,nminiaci,tired and gotta work today!!! i have to study so someone better take my shift 
422785,0,2062728913,Sun Jun 07 00:06:39 PDT 2009,NO_QUERY,DEAlter,I hate when MegaVideo cuts me off 7 minutes before the end of my show... 
99614,0,1793678688,Thu May 14 03:36:28 PDT 2009,NO_QUERY,wishbearxx_,@vivyenx Yeah we were sad nga you didnt make it eh. Rose-An din. 
1562892,4,2186930960,Mon Jun 15 19:32:38 PDT 2009,NO_QUERY,jwjecha,And here I was waiting to hear from my Cleveland friend about the game's final score... I might be giving him a call instead... 
1119386,4,1973760023,Sat May 30 11:46:48 PDT 2009,NO_QUERY,georgewezsley,@ThePBG cool 
587643,0,2216392095,Wed Jun 17 19:25:21 PDT 2009,NO_QUERY,lathiat,iPhone on Three (http://store.three.com.au/Apple-iPhone-3G-Coming-Soon) but in july .. I guess that means I won't be getting one on day 1 
593201,0,2218176312,Wed Jun 17 22:01:13 PDT 2009,NO_QUERY,Msdivine20,@TheRealSavage   How about Pink Briefs with the butt cut out?
928115,4,1759465333,Sun May 10 19:16:18 PDT 2009,NO_QUERY,davidmyers,"@WWSIV haha, maybe for you, but I take my last final sometime tonight when I feel like it. Have fun in the morning "
1132111,4,1975968090,Sat May 30 16:17:48 PDT 2009,NO_QUERY,caffeinatedelf,@amysnotdeadyet ooooooh. can i come over and help you eat?? 
92822,0,1760235679,Sun May 10 21:00:10 PDT 2009,NO_QUERY,Suhaila,"   I want to display my pretty voltron!  Upside, I get two pretty voltrons!"
934084,4,1792326588,Wed May 13 22:48:53 PDT 2009,NO_QUERY,missbrodieee,going to stef's birthday dinner tonight 
35034,0,1565040585,Mon Apr 20 05:43:35 PDT 2009,NO_QUERY,tvecero,"Still sick, I really want to go back to bed.  As soon as I get home that is where I am heading."
